"province","district","commune"
"Bac Ninh","Gia Binh","Dai Bai"
"Bac Ninh","Thanh pho Bac Ninh","Khuc Xuyen"
"Cao Bang","Bao Lam","Thach Lam"
"Cao Bang","Bao Lac","Co Ba"
"Cao Bang","Ha Quang","Ngoc Dao"
"Cao Bang","Ha Quang","Luong Can"
"Cao Bang","Thanh pho Cao Bang","Hop Giang"
"Cao Bang","Thanh pho Cao Bang","Hoa Chung"
"Cao Bang","Hoa An","Nguyen Hue"
"Cao Bang","Hoa An","Truong Luong"
"Cao Bang","Hoa An","Hong Nam"
"Cao Bang","Thach An","Duc Xuan"
"Cao Bang","Trung Khanh","Trung Phuc"
"Cao Bang","Bao Lac","Dinh Phung"
"Cao Bang","Ha Lang","Thong Nhat"
"Cao Bang","Ha Lang","Kim Loan"
"Cao Bang","Trung Khanh","Thi tran Trung Khanh"
"Cao Bang","Ha Lang","Dong Loan"
"Cao Bang","Nguyen Binh","Minh Tam"
"Cao Bang","Bao Lam","Vinh Phong"
"Cao Bang","Thanh pho Cao Bang","Duyet Trung"
"Cao Bang","Ha Lang","Duc Quang"
"Cao Bang","Bao Lam","Nam Cao"
"Cao Bang","Thanh pho Cao Bang","Song Hien"
"Cao Bang","Ha Lang","Co Ngan"
"Cao Bang","Thanh pho Cao Bang","Ngoc Xuan"
"Cao Bang","Quang Hoa","Thi tran Ta Lung"
"Cao Bang","Ha Lang","Thi Hoa"
"Cao Bang","Ha Lang","Quang Long"
"Cao Bang","Hoa An","Quang Trung"
"Cao Bang","Quang Hoa","Doc Lap"
"Cao Bang","Ha Lang","Thi Tran Thanh Nhat"
"Cao Bang","Hoa An","Binh Duong"
"Cao Bang","Trung Khanh","Phong Chau"
"Cao Bang","Ha Lang","Ly Quoc"
"Cao Bang","Bao Lam","Quang Lam"
"Cao Bang","Ha Lang","Thang Loi"
"Cao Bang","Hoa An","Ngu Lao"
"Cao Bang","Thanh pho Cao Bang","Song Bang"
"Cao Bang","Hoa An","Dai Tien"
"Cao Bang","Hoa An","Thi Tran Nuoc Hai"
"Cao Bang","Bao Lam","Thai Son"
"Cao Bang","Hoa An","Hong Viet"
"Cao Bang","Thach An","Le Loi"
"Cao Bang","Quang Hoa","Tu Do"
"Cao Bang","Trung Khanh","Cao Thang"
"Cao Bang","Bao Lam","Mong An"
"Cao Bang","Trung Khanh","Kham Thanh"
"Cao Bang","Trung Khanh","Doai Duong"
"Cao Bang","Nguyen Binh","Thi tran Nguyen Binh"
"Cao Bang","Hoa An","Nam Tuan"
"Cao Bang","Thanh pho Cao Bang","Vinh Quang"
"Cao Bang","Ha Lang","Minh Long"
"Cao Bang","Bao Lac","Hung Dao"
"Cao Bang","Thanh pho Cao Bang","De Tham"
"Cao Bang","Trung Khanh","Thi tran Hung Quoc"
"Cao Bang","Trung Khanh","Lang Hieu"
"Cao Bang","Quang Hoa","Chi Thao"
"Cao Bang","Thanh pho Cao Bang","Tan Giang"
"Cao Bang","Hoa An","Hoang Tung"
"Cao Bang","Thanh pho Cao Bang","Hung Dao"
"Cao Bang","Ha Quang","Truong Ha"
"Cao Bang","Trung Khanh","Phong Nam"
"Cao Bang","Quang Hoa","My Hung"
"Cao Bang","Quang Hoa","Ngoc Dong"
"Cao Bang","Trung Khanh","Chi Vien"
"Cao Bang","Trung Khanh","Dam Thuy"
"Cao Bang","Bao Lac","Son Lap"
"Cao Bang","Bao Lac","Son Lo"
"Cao Bang","Trung Khanh","Quang Trung"
"Cao Bang","Ha Quang","Ngoc Dong"
"Cao Bang","Ha Quang","Thi tran Thong Nong"
"Cao Bang","Trung Khanh","Duc Hong"
"Cao Bang","Ha Quang","Luong Thong"
"Cao Bang","Nguyen Binh","Hung Dao"
"Cao Bang","Nguyen Binh","Tam Kim"
"Cao Bang","Quang Hoa","Hanh Phuc"
"Cao Bang","Nguyen Binh","Trieu Nguyen"
"Cao Bang","Quang Hoa","Cach Linh"
"Cao Bang","Nguyen Binh","Thinh Vuong"
"Cao Bang","Ha Quang","Thanh Long"
"Cao Bang","Quang Hoa","Cai Bo"
"Cao Bang","Ha Quang","Can Nong"
"Cao Bang","Thach An","Duc Long"
"Cao Bang","Thach An","Van Trinh"
"Cao Bang","Ha Quang","Can Yen"
"Cao Bang","Thach An","Thuy Hung"
"Cao Bang","Nguyen Binh","Thanh Cong"
"Cao Bang","Bao Lac","Hung Thinh"
"Cao Bang","Nguyen Binh","Vu Minh"
"Cao Bang","Ha Quang","Thi Tran Xuan Hoa"
"Cao Bang","Thach An","Canh Tan"
"Cao Bang","Bao Lac","Bao Toan"
"Cao Bang","Quang Hoa","Phi Hai"
"Cao Bang","Bao Lam","Vinh Quang"
"Cao Bang","Trung Khanh","Ngoc Khe"
"Cao Bang","Nguyen Binh","Ca Thanh"
"Cao Bang","Thach An","Minh Khai"
"Cao Bang","Nguyen Binh","Thi tran Tinh Tuc"
"Cao Bang","Nguyen Binh","Phan Thanh"
"Cao Bang","Hoa An","Dan Chu"
"Cao Bang","Thach An","Quang Trong"
"Cao Bang","Ha Lang","Vinh Quy"
"Cao Bang","Bao Lac","Hong Tri"
"Cao Bang","Quang Hoa","Tien Thanh"
"Cao Bang","Quang Hoa","Be Van Dan"
"Cao Bang","Nguyen Binh","The Duc"
"Cao Bang","Nguyen Binh","Quang Thanh"
"Cao Bang","Quang Hoa","Thi tran Quang Uyen"
"Cao Bang","Trung Khanh","Ngoc Con"
"Cao Bang","Quang Hoa","Thi Tran Hoa Thuan"
"Cao Bang","Nguyen Binh","Yen Lac"
"Cao Bang","Bao Lac","Khanh Xuan"
"Cao Bang","Ha Quang","Ma Ba"
"Cao Bang","Ha Quang","Thuong Thon"
